task,size,subset,positions,balanced_accuracy,macro_f1,auroc,ci95
seed0_init_l0_h_full_A_iid,full,all,20000,0.5899810763571527,0.5899347773941336,0.6306843366615956,"[0.5771433556485718, 0.601997683776931]"
seed0_init_l0_h_full_B_iid,full,all,20000,0.5822896772366324,0.5820038171684294,0.619765265734352,"[0.5684018197213425, 0.5949685968742523]"
seed0_init_l0_h_full_C_iid,full,all,20000,0.5937596313197671,0.5904608100588762,0.6349043693544196,"[0.5834012174000914, 0.604273272440333]"
seed0_init_l0_h_full_D_iid,full,all,20000,0.5963500010253886,0.5961493001570838,0.6424350812844787,"[0.5833214238382993, 0.6096195842352669]"
seed0_init_l0_h_full_current_iid,full,all,20000,0.5675750894822201,0.5659977234149292,0.5991071734539496,"[0.56068288479241, 0.5747419523118253]"
seed0_init_l0_h_full_current_iid,full,current_ne_previous,9976,0.46608609950834273,0.4638495991313705,0.44998854461090265,"[0.45670117833307344, 0.4762018906797044]"
seed0_init_l0_h_full_current_transfer,full,all,4979,0.5,0.3199945370117454,0.6069721774802028,"[0.5, 0.5]"
seed0_init_l0_h_full_current_transfer,full,current_ne_previous,2530,0.5,0.3301562086311888,0.4525867538053917,"[0.5, 0.5]"
seed0_init_l0_h_full_previous_iid,full,all,18617,0.5985739398787033,0.598506959081458,0.6415457089678265,"[0.5900944319395841, 0.6067326199114258]"
seed0_init_l0_h_full_previous_iid,full,current_ne_previous,9976,0.5402733697976456,0.5401630882674225,0.5563306097643325,"[0.5297120225040874, 0.5505594834181461]"
seed0_init_l0_h_full_previous_transfer,full,all,4644,0.5,0.32441082339249344,0.6453148858861425,"[0.5, 0.5]"
seed0_init_l0_h_full_previous_transfer,full,current_ne_previous,2530,0.5,0.33648046157880934,0.551499124008298,"[0.5, 0.5]"
seed0_init_l0_h_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l0_h_full_state_iid,full,all,20000,0.10195590965465509,0.046181929127768626,,"[0.09908378114363281, 0.10493098940884762]"
seed0_init_l0_m_full_A_iid,full,all,20000,0.5897484686798891,0.5896722624798433,0.630490434365269,"[0.5777119258632923, 0.6017932057185613]"
seed0_init_l0_m_full_B_iid,full,all,20000,0.5826310740372567,0.5823382514584377,0.6236852851034521,"[0.5697749748865719, 0.5955465451014978]"
seed0_init_l0_m_full_C_iid,full,all,20000,0.5942249997902417,0.5905099366417599,0.6349574914628362,"[0.5823062643531004, 0.6060291620020177]"
seed0_init_l0_m_full_D_iid,full,all,20000,0.6003060785037528,0.5998666903364819,0.6404118313184447,"[0.5879835792302396, 0.6123771999499998]"
seed0_init_l0_m_full_current_iid,full,all,20000,0.5666817885426889,0.5648235214345836,0.5993063286412281,"[0.5590327969550384, 0.5742631682829644]"
seed0_init_l0_m_full_current_iid,full,current_ne_previous,9976,0.4658418786516565,0.4631039367844954,0.4498565061786751,"[0.45689646883998325, 0.47514456079633605]"
seed0_init_l0_m_full_current_transfer,full,all,4979,0.566965930868237,0.5525233909595014,0.6103540588729415,"[0.5528769636425369, 0.5810533538316722]"
seed0_init_l0_m_full_current_transfer,full,current_ne_previous,2530,0.47506533216742786,0.45529546463917986,0.4512854232855658,"[0.45502776163471764, 0.4939151833892121]"
seed0_init_l0_m_full_previous_iid,full,all,18617,0.5986772335561789,0.598579232345066,0.6418955714834856,"[0.5904520362130853, 0.6070574954027096]"
seed0_init_l0_m_full_previous_iid,full,current_ne_previous,9976,0.5402862319889128,0.5401455283422996,0.5566753164902939,"[0.5303336837559972, 0.5500486052294816]"
seed0_init_l0_m_full_previous_transfer,full,all,4644,0.5914235346131126,0.5902802262117985,0.6486238719576759,"[0.5750322862868575, 0.6088323018572056]"
seed0_init_l0_m_full_previous_transfer,full,current_ne_previous,2530,0.5256937773024706,0.5237938645941382,0.5512041057540435,"[0.5061541177069654, 0.5466777874154528]"
seed0_init_l0_m_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l0_m_full_state_iid,full,all,20000,0.10090516828384556,0.044324896793640364,,"[0.09792252581126283, 0.10380574227170272]"
seed0_init_l0_u_full_A_iid,full,all,20000,0.5902845579764913,0.5902227262837041,0.6306858882803841,"[0.578517666435172, 0.6021237051577568]"
seed0_init_l0_u_full_B_iid,full,all,20000,0.5812772943329932,0.580931315124237,0.6194675666835467,"[0.5701122261001682, 0.5946323396557235]"
seed0_init_l0_u_full_C_iid,full,all,20000,0.5959660188912899,0.5927616232584278,0.6344171200154934,"[0.5842161883347627, 0.6072012438391965]"
seed0_init_l0_u_full_D_iid,full,all,20000,0.5961945905623232,0.5959632507470157,0.6415676766103728,"[0.5835239203764693, 0.6092951831120688]"
seed0_init_l0_u_full_current_iid,full,all,20000,0.5677345017050943,0.5659873979123711,0.5991479572816877,"[0.5605708590654402, 0.5750963964986366]"
seed0_init_l0_u_full_current_iid,full,current_ne_previous,9976,0.46707439812983736,0.4646869541939622,0.4495242195061562,"[0.4566326037349364, 0.4767891196900607]"
seed0_init_l0_u_full_current_transfer,full,all,4979,0.5,0.34615889691398555,0.6094031425412733,"[0.5, 0.5]"
seed0_init_l0_u_full_current_transfer,full,current_ne_previous,2530,0.5,0.33648046157880934,0.452788016258506,"[0.5, 0.5]"
seed0_init_l0_u_full_previous_iid,full,all,18617,0.597027236714283,0.596935966377447,0.6418231256132177,"[0.5892262985866707, 0.6045370588223302]"
seed0_init_l0_u_full_previous_iid,full,current_ne_previous,9976,0.5373682027338587,0.5372534870678789,0.5564525594152848,"[0.5270589615609379, 0.5470128535885732]"
